,Unnamed: 0,SGA_ID_1,GALAXY,RA_LEDA,DEC_LEDA,MORPHTYPE,PA_LEDA,D25_LEDA,BA_LEDA,Z_LEDA,SB_D25_LEDA,FLUX_G,FLUX_R,FLUX_Z,FLUX_W1,FLUX_W2,FLUX_W3,FLUX_W4,DIST,LUM_W1,LUM_W2,LUM_W3,LUM_W4
135687,268210,1005212.0,UGC07886,190.709238,31.890204600000004,Sc,29.54,0.95940065,0.16106457,0.0147638805,25.02448,315.77524,610.55194,1020.57764,842.7599,492.54575,1561.8105,3385.5154,63.949707495016945,681366830.0684017,409377246.68750226,1143482755.7041044,2722297014.216268
179493,342155,1258511.0,SDSSJ101940.41+082631.3,154.9183365,8.441997500000001,S?,30.5,0.45498806,0.5058247,0.062375817,25.06548,88.16228,145.98878,199.32335,111.946915,67.58956,230.32317,82.13877,279.77013823200076,1732267050.6665468,1075182864.0434015,3257648394.8283563,1180572492.353917
207127,389562,188850.0,PGC1912318,221.896893,30.6532563,Sm,131.42,0.54701596,0.64565426,0.0538686,25.00348,139.88629,278.10898,479.61984,417.35284,275.241,1334.4037,2788.8992,240.1544104713848,4758658146.650405,3226222093.088571,14323515598.383423,31812507819.815044
60956,125323,396859.0,SDSSJ091225.92+411917.2,138.107997,41.3214269,S?,32.27,0.48083934,0.31188896,0.028009709,24.94148,83.30719,150.20346,222.36687,158.9826,92.69303,244.64238,240.34044,122.53683160745999,471935762.42855257,282865754.5600618,644990791.8987199,692201629.6188016
113930,231118,1028159.0,SDSSJ091420.86+161718.3,138.586872,16.2884618,S?,179.73,0.4977371,0.32062694,0.027281873,25.015482,87.329796,137.8458,186.31873,111.8476,64.41849,254.2813,192.92162,119.2880738101518,314644917.8339854,186296455.6482502,659061240.490107,529176573.5236566
141836,278202,124622.0,PGC1129416,151.7610375,-0.997433,S?,151.6,0.5081594,0.3273407,0.092654094,25.019482,89.37359,216.57971,464.60242,597.84,432.59882,1711.3768,872.65735,424.3800957457986,21286045304.099453,15834171459.95787,57011597619.670616,30102513812.988167
98450,204055,866022.0,PGC1076601,157.748064,-3.0958063,,38.0,0.34673685,0.3548134,0.09951484,24.838482,42.958397,78.36627,131.44598,100.85846,64.08068,219.95607,518.74225,457.9176903217569,4181067469.566026,2730875836.9487567,8374030143.669629,21456651547.419315
207424,390079,180411.0,PGC3304668,215.144943,-2.229332,,165.64,0.33806482,0.35399735,0.087000184,25.15348,38.765297,68.29333,106.068115,86.30438,58.398598,234.68509,1563.4794,396.95387687008514,2688517902.3159785,1870176160.525462,6818999887.263783,48996893421.74333
170866,327632,1373190.0,2MASXJ16161702+1524241,244.0708815,15.4067795,E?,145.88,0.35318315,0.2660725,0.09006263,24.964481,62.909863,169.83356,362.68384,365.52957,239.62769,360.46732,752.0808,411.78545614158037,12253623237.581211,8258078532.243592,10037063238.410858,24722273740.894035
170695,327341,387015.0,SDSSJ162213.94+350102.4,245.5581195,35.0173757,,145.72,0.35156044,0.33806485,0.09804182,24.75748,51.608585,76.00834,103.4137,82.027565,51.39831,300.176,201.0455,450.69340716390235,3293989648.0265446,2121833245.426433,11423235613.527323,7953762428.838481
